,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
1357891,373383000,2022-03-13 23:59:44,29.68222,-122.52824,11.8,271.9,272.0,DIAMOND QUEEN,IMO9642136,3EWM,70,0.0,199.0,32.0,13.0,70.0,A
3612448,373383000,2022-03-13 23:59:39,29.7024,-124.47029,14.1,268.8,271.0,DIAMOND QUEEN,IMO9642136,3EWM,70,0.0,199.0,32.0,13.0,70.0,A
3909057,373383000,2022-03-13 23:59:51,29.70649,-124.75226,13.6,273.2,272.0,DIAMOND QUEEN,IMO9642136,3EWM,70,0.0,199.0,32.0,13.0,70.0,A
5556550,229161000,2022-03-13 20:00:41,37.2103,-76.11684,0.1,134.9,204.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5560334,311000813,2022-03-13 20:01:31,45.549,-122.69383,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5562378,316026694,2022-03-13 20:01:59,48.40755,-89.2155,0.0,319.0,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5566936,477624800,2022-03-13 20:00:15,39.25224,-76.54432,0.0,141.2,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
5568021,356704000,2022-03-13 20:02:48,27.53369,-86.90369,11.8,167.8,170.0,NAVIOS FANTASTIKS,IMO9325013,3EAJ2,70,0.0,288.0,45.0,18.2,70.0,A
5577601,403531001,2022-03-13 20:02:34,29.72555,-95.2684,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5582704,316026694,2022-03-13 20:04:58,48.40755,-89.21551,0.0,138.3,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5589457,403531001,2022-03-13 20:05:34,29.72555,-95.26839,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5596025,316026694,2022-03-13 20:07:58,48.40755,-89.21551,0.0,164.1,345.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
5608683,403531001,2022-03-13 20:08:34,29.72551,-95.26842,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5609958,311000813,2022-03-13 20:10:31,45.54901,-122.69381,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5611598,403531001,2022-03-13 20:11:34,29.72554,-95.26838,0.0,168.5,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
5614284,311000813,2022-03-13 20:04:34,45.54904,-122.69387,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
5616950,538004337,2022-03-13 20:11:45,36.80154,-76.2894,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
5618477,229161000,2022-03-13 20:12:44,37.21033,-76.11682,0.0,123.2,208.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
5618811,212254000,2022-03-13 20:12:28,18.33562,-64.94774,0.0,193.8,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
