,BaseDateTime,MMSI,LAT,LON,SOG,COG,Heading
0,2022-02-02 00:02:13,219003217,54.909097,9.781608,0.0,,26.0
2,2022-02-02 00:05:12,219003217,54.909127,9.781627,0.0,,25.0
5,2022-02-02 00:08:11,219003217,54.909112,9.781652,0.0,,23.0
6,2022-02-02 00:08:41,209183000,54.726163,13.651833,15.0,155.0,155.0
8,2022-02-02 00:11:12,219003217,54.909103,9.781637,0.0,,21.0
9,2022-02-02 00:11:17,209183000,54.716323,13.659665,15.0,152.0,154.0
13,2022-02-02 00:14:10,219003217,54.909075,9.781653,0.0,,22.0
15,2022-02-02 00:17:10,219003217,54.909118,9.781632,0.0,,21.0
19,2022-02-02 00:20:11,219003217,54.909103,9.781638,0.0,,22.0
27,2022-02-02 00:32:12,219003217,54.909113,9.781642,0.0,,22.0
29,2022-02-02 00:35:11,219003217,54.909117,9.781628,0.0,,23.0
34,2022-02-02 00:41:10,219003217,54.909093,9.781672,0.0,,20.0
39,2022-02-02 00:47:11,219003217,54.909078,9.78165,0.0,,23.0
42,2022-02-02 00:50:12,219003217,54.909088,9.78163,0.0,,25.0
43,2022-02-02 00:53:13,219003217,54.909095,9.78166,0.0,,20.0
46,2022-02-02 00:56:12,219003217,54.909085,9.781652,0.0,,27.0
47,2022-02-02 00:59:11,219003217,54.909103,9.781658,0.0,,20.0
50,2022-02-02 01:02:10,219003217,54.909108,9.78165,0.1,50.4,24.0
51,2022-02-02 01:05:13,219003217,54.909098,9.781627,0.0,,21.0
56,2022-02-02 01:11:12,219003217,54.909072,9.781623,0.0,,25.0
60,2022-02-02 01:14:13,219003217,54.90908,9.781623,0.0,,21.0
62,2022-02-02 01:17:12,219003217,54.909097,9.781627,0.0,,22.0
66,2022-02-02 01:20:11,219003217,54.909097,9.781652,0.0,,20.0
67,2022-02-02 01:23:13,219003217,54.909077,9.781652,0.0,,20.0
71,2022-02-02 01:26:11,219003217,54.909072,9.781648,0.0,,23.0
73,2022-02-02 01:29:12,219003217,54.909088,9.781602,0.0,,21.0
76,2022-02-02 01:31:17,211187510,54.248228,9.61534,7.8,13.5,17.0
77,2022-02-02 01:32:12,219003217,54.909093,9.78163,0.0,,24.0
78,2022-02-02 01:32:36,211187510,54.251038,9.616655,7.8,3.0,3.0
79,2022-02-02 01:33:03,211187510,54.25092,9.616945,5.2,184.0,194.0
80,2022-02-02 01:33:10,211187510,54.250725,9.616817,5.7,192.4,195.0
81,2022-02-02 01:35:12,219003217,54.909063,9.781665,0.0,,23.0
84,2022-02-02 01:38:11,219003217,54.909063,9.78166,0.0,,20.0
86,2022-02-02 01:41:10,219003217,54.909062,9.781668,0.0,,20.0
89,2022-02-02 01:43:17,211187510,54.244422,9.61437,0.0,245.3,201.0
90,2022-02-02 01:44:11,219003217,54.909062,9.781642,0.0,,22.0
92,2022-02-02 01:47:10,219003217,54.909077,9.781642,0.0,,21.0
95,2022-02-02 01:50:10,219003217,54.909087,9.78164,0.0,,22.0
98,2022-02-02 01:56:13,219003217,54.909055,9.781602,0.2,55.9,24.0
100,2022-02-02 01:59:10,219003217,54.909058,9.781643,0.0,,25.0
103,2022-02-02 02:00:47,211187510,54.244425,9.614355,0.0,253.6,201.0
104,2022-02-02 02:01:36,211187510,54.244425,9.614365,0.0,241.5,201.0
105,2022-02-02 02:02:12,219003217,54.909047,9.78165,0.0,,25.0
107,2022-02-02 02:05:10,219003217,54.90908,9.781623,0.0,,25.0
111,2022-02-02 02:08:11,219003217,54.909062,9.781675,0.0,,24.0
113,2022-02-02 02:11:11,219003217,54.909063,9.781687,0.0,,24.0
116,2022-02-02 02:14:10,219003217,54.909073,9.78166,0.0,,23.0
117,2022-02-02 02:14:47,211187510,54.244435,9.614368,0.0,243.5,201.0
118,2022-02-02 02:17:10,219003217,54.909083,9.78166,0.0,,20.0
121,2022-02-02 02:18:37,211187510,54.244418,9.614375,0.0,261.3,201.0
122,2022-02-02 02:20:12,219003217,54.909078,9.781618,0.0,,25.0
124,2022-02-02 02:23:11,219003217,54.90908,9.78164,0.0,,22.0
128,2022-02-02 02:24:33,211187510,54.250575,9.616852,2.9,154.0,198.0
129,2022-02-02 02:26:10,219003217,54.90908,9.781668,0.0,,23.0
131,2022-02-02 02:29:11,219003217,54.909098,9.781668,0.0,,22.0
134,2022-02-02 02:32:13,219003217,54.909117,9.781653,0.0,,21.0
136,2022-02-02 02:33:07,211187510,54.244415,9.614392,0.0,255.1,201.0
137,2022-02-02 02:34:37,211187510,54.244422,9.614383,0.0,285.5,200.0
138,2022-02-02 02:35:12,219003217,54.909093,9.781673,0.0,,24.0
140,2022-02-02 02:38:12,219003217,54.909107,9.78162,0.0,,25.0
142,2022-02-02 02:41:13,219003217,54.909088,9.78166,0.0,,22.0
146,2022-02-02 02:44:12,219003217,54.909088,9.781678,0.0,,20.0
147,2022-02-02 02:47:13,219003217,54.909087,9.781685,0.0,,20.0
149,2022-02-02 02:50:11,219003217,54.909123,9.78165,0.1,6.2,21.0
151,2022-02-02 02:53:11,219003217,54.90908,9.781645,0.0,,19.0
155,2022-02-02 02:56:10,219003217,54.909077,9.78172,0.0,,23.0
159,2022-02-02 03:02:10,219003217,54.909083,9.781655,0.0,,27.0
163,2022-02-02 03:08:10,219003217,54.909107,9.78165,0.0,,22.0
167,2022-02-02 03:14:10,219003217,54.909083,9.781647,0.1,45.6,21.0
171,2022-02-02 03:20:11,219003217,54.909087,9.781625,0.0,,25.0
173,2022-02-02 03:23:13,219003217,54.909083,9.781667,0.0,,25.0
177,2022-02-02 03:26:12,219003217,54.909092,9.781627,0.0,,20.0
179,2022-02-02 03:29:10,219003217,54.90909,9.781603,0.0,,22.0
182,2022-02-02 03:32:13,219003217,54.90909,9.781652,0.0,,26.0
